token0,symbolToken0,decimalToken0,min_rank
0xbbba073c31bf03b8acf7c28ef0738decf3695683,,,14
0xb5c064f955d8e7f38fe0460c556a72987494ee17,,,16
0xe5417af564e4bfda1c483642db72007871397896,,,17
0x750e4c4984a9e0f12978ea6742bc1c5d248f40ed,,,20
0xbfc70507384047aa74c29cdc8c5cb88d0f7213ac,,,29
0xd0258a3fd00f38aa8090dfee343f10a9d4d30d3f,,,32
0x1d734a02ef1e1f5886e66b0673b71af5b53ffa94,,,34
0xe261d618a959afffd53168cd07d12e37b26761db,,,35
0x03b54a6e9a984069379fae1a4fc4dbae93b3bccd,,,37
0x67eb41a14c0fe5cd701fc9d5a3d6597a72f641a6,,,40
0x0e9b89007eee9c958c0eda24ef70723c2c93dd58,,,43
0x0c9c7712c83b3c70e7c5e11100d33d9401bdf9dd,,,44
0x612d833c0c7a54cdfbe9a4328b6d658020563ec0,,,45
0x0169ec1f8f639b32eec6d923e24c2a2ff45b9dd6,,,46
0xe06bd4f5aac8d0aa337d13ec88db6defc6eaeefe,,,48
0x8a953cfe442c5e8855cc6c61b1293fa648bae472,,,49
0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7,,,51
0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,,,54
0x12a4cebf81f8671faf1ab0acea4e3429e42869e7,,,56
0xec38621e72d86775a89c7422746de1f52bba5320,,,57
0xd125443f38a69d776177c2b9c041f462936f8218,,,58
0x491a4eb4f1fc3bff8e1d2fc856a6a46663ad556f,,,59
0xa2ca40dbe72028d3ac78b5250a8cb8c404e7fb8c,,,60
0x8e3f56e2414aa427a211c69a3a20124e351baec1,,,61
0xd0b3a0e0ea080a0882d6e048cae8558f010ce81f,,,63
0xdfce1e99a31c4597a3f8a8945cbfa9037655e335,,,64
0x8497842420cfdbc97896c2353d75d89fc8d5be5d,,,65
0x54e38ca1aaafd4ca90637c8c3e50758eeadaf67d,,,66
0x101a023270368c0d50bffb62780f4afd4ea79c35,,,70
0xe8d17b127ba8b9899a160d9a07b69bca8e08bfc6,,,71
0x8f006d1e1d9dc6c98996f50a4c810f17a47fbf19,,,73
0x958d208cdf087843e9ad98d23823d32e17d723a1,,,74
0x692ac1e363ae34b6b489148152b12e2785a3d8d6,,,76
0x9246a5f10a79a5a939b0c2a75a3ad196aafdb43b,,,77
0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,,,78
0xbbfe0b60de96a189bf09079de86a2db7bf0c7883,,,79
0x6f06e6bed64cf4c4187c06ee2a4732f6a171bc4e,,,81
0xc2a45fe7d40bcac8369371b08419ddafd3131b4a,,,82
0x7bdf330f423ea880ff95fc41a280fd5ecfd3d09f,,,84
